FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
AAZQ11;INDEFINIDO;9,36;666.358,00;1,01;0,12;1,28%;3,59%;7,94%;10,82%;1,20%;1,32%;1,55%;10,82%;0,00%;1,28%;6,79%;230.646.828,88;9,6;0,98;1,46%;0,00%;0,00%;0,00%;0
ABCP11;SHOPPINGS;68,95;62.040,79;0,74;0,5;0,70%;2,10%;4,32%;8,81%;0,70%;0,72%;0,73%;5,84%;-0,95%;-0,25%;2,01%;432.552.807,00;91,82;0,75;0,65%;-0,18%;0,47%;7,12%;1
AFHI11;PAPÉIS;97,74;1.195.518,55;1,01;1,05;1,07%;3,30%;6,75%;13,08%;1,10%;1,13%;1,09%;7,87%;-0,89%;0,17%;9,18%;289.711.187,37;94,82;1,03;1,01%;-0,94%;0,06%;5,00%;0
AGRX11;OUTROS;10,62;218.937,48;N/A;0,14;1,29%;3,86%;8,60%;15,81%;1,29%;1,43%;1,32%;11,84%;-2,61%;-1,35%;18,94%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
AIEC11;LAJES CORPORATIVAS;68,7;757.731,72;0,72;0,76;1,11%;3,27%;7,01%;13,33%;1,09%;1,17%;1,11%;8,48%;-4,75%;-3,69%;6,79%;456.945.283,72;102,56;0,67;0,73%;0,24%;0,98%;9,40%;2
ALMI11;LAJES CORPORATIVAS;714,42;45.689,15;0,35;0,37;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;225.793.787,83;2.046,78;0,35;0,00%;-0,05%;-0,05%;0,90%;1
ALZM11;FUNDO DE FUNDOS;95,35;205.025,24;1,03;0,71;0,76%;2,59%;5,52%;12,57%;0,86%;0,92%;1,05%;6,61%;0,68%;1,44%;15,41%;63.914.467,84;100,5;0,95;1,07%;2,33%;3,43%;8,23%;0
ALZR11;MISTO;116,75;2.069.206,55;1,1;0,83;0,71%;2,12%;4,29%;12,44%;0,71%;0,72%;1,04%;5,02%;-1,15%;-0,44%;7,29%;1.049.505.903,99;106,94;1,09;0,68%;-0,03%;0,65%;7,26%;13
APTO11;IMÓVEIS RESIDENCIAIS;9,9;49.012,21;0,94;0,1;1,01%;3,16%;6,72%;13,43%;1,05%;1,12%;1,12%;9,10%;-0,50%;0,50%;23,01%;42.128.729,72;9,97;0,99;1,00%;-0,78%;0,22%;13,14%;4
ARCT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;87,13;1.053.903,45;0,87;0,5;0,00%;1,30%;3,82%;12,55%;0,43%;0,64%;1,05%;0,00%;0,00%;0,00%;N/A;371.534.654,03;99,77;0,87;0,76%;0,04%;0,80%;6,31%;9
ARRI11;PAPÉIS;8,76;277.878,07;0,97;0,1;1,13%;3,44%;7,27%;14,95%;1,15%;1,21%;1,25%;9,40%;-4,31%;-3,23%;4,95%;117.478.338,91;9,1;0,96;1,43%;-2,15%;-0,75%;-88,87%;0
ARXD11;PAPÉIS;102;2.945,70;1,01;1,1;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;49.935.288,14;N/A;N/A;N/A;N/A;N/A;N/A;0
ASMT11;LAJES CORPORATIVAS;48,8;13.468,83;0,58;0,77;1,11%;3,18%;6,17%;11,50%;1,06%;1,03%;0,96%;1,11%;-5,50%;-4,46%;-4,46%;85.699.208,49;N/A;N/A;N/A;N/A;N/A;N/A;3
ATSA11;SHOPPINGS;59,23;2.210,04;0,7;0,05;0,00%;0,13%;0,19%;0,99%;0,04%;0,03%;0,08%;0,07%;0,00%;0,00%;N/A;143.373.897,92;90,48;0,65;0,06%;0,17%;0,22%;0,83%;1
BARI11;PAPÉIS;84,38;751.202,21;0,86;0,6;0,68%;2,79%;6,18%;12,31%;0,93%;1,03%;1,03%;8,24%;-1,76%;-1,09%;8,58%;451.240.748,31;99,63;0,85;0,90%;-0,70%;0,19%;8,18%;0
BBFI11B;LAJES CORPORATIVAS;976,03;176.899,10;0,46;7,43;0,74%;1,92%;5,90%;13,99%;0,64%;0,98%;1,17%;8,49%;-10,93%;-10,27%;-45,10%;279.197.329,42;2.854,80;0,34;0,93%;0,12%;1,06%;6,06%;2
BBFO11;FUNDO DE FUNDOS;73,59;317.326,52;0,89;0,62;0,83%;2,70%;5,87%;11,71%;0,90%;0,98%;0,98%;8,14%;-1,19%;-0,37%;21,53%;331.238.334,63;82,36;0,89;0,73%;-4,19%;-3,49%;4,75%;0
BBGO11;INDEFINIDO;92,3;472.322,41;0,84;0,92;0,98%;4,66%;8,50%;14,86%;1,55%;1,42%;1,24%;10,67%;0,00%;0,98%;27,11%;392.550.389,63;98,01;0,94;1,04%;0,08%;1,12%;9,31%;0
BBPO11;AGÊNCIAS DE BANCOS;96;1.940.697,62;0,96;0,9;0,92%;2,74%;5,80%;12,00%;0,91%;0,97%;1,00%;7,92%;-0,97%;-0,06%;23,65%;1.589.187.534,13;100,37;0,96;0,92%;0,06%;0,98%;15,85%;63
BBRC11;AGÊNCIAS DE BANCOS;114;121.898,03;1,05;1,13;0,96%;3,01%;6,26%;12,31%;1,00%;1,04%;1,03%;8,35%;7,37%;8,40%;28,22%;171.757.745,92;106,62;1,07;0,93%;-0,09%;0,84%;9,30%;20
BCFF11;FUNDO DE FUNDOS;73,49;3.193.678,24;0,96;0,56;0,75%;2,26%;4,78%;9,79%;0,75%;0,80%;0,82%;6,56%;-1,34%;-0,60%;21,52%;1.950.882.562,14;75,57;0,97;0,74%;-3,03%;-2,31%;1,30%;1
BCIA11;FUNDO DE FUNDOS;101,13;820.850,41;0,93;0,83;0,80%;2,38%;5,17%;10,43%;0,79%;0,86%;0,87%;7,03%;-2,36%;-1,58%;30,61%;409.523.791,73;101,16;1;0,75%;-5,66%;-4,95%;4,65%;0
BCRI11;PAPÉIS;70,63;638.047,21;0,72;0,8;1,13%;2,95%;6,08%;12,06%;0,98%;1,01%;1,01%;7,93%;-7,09%;-6,04%;-19,50%;619.928.797,11;100,74;0,7;0,99%;-0,93%;0,05%;6,21%;0
BDIF11;FUNDO DE DESENVOLVIMENTO;97,45;1.557.566,76;N/A;1,25;1,33%;4,00%;7,75%;15,99%;1,33%;1,29%;1,33%;8,93%;0,26%;1,59%;16,32%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BICE11;FUNDO DE FUNDOS;980;27.531,00;0,99;7,88;0,00%;1,79%;1,79%;3,09%;0,60%;0,30%;0,26%;3,09%;0,00%;0,00%;N/A;89.018.475,76;1.017,80;0,96;1,57%;5,06%;6,71%;8,19%;0
BICR11;PAPÉIS;82,02;1.173,52;0,81;0,52;0,57%;1,41%;2,43%;6,75%;0,47%;0,41%;0,56%;3,97%;0,00%;0,00%;N/A;50.897.643,19;99,22;0,83;1,11%;-1,64%;-0,55%;8,67%;0
BIDB11;FUNDO DE DESENVOLVIMENTO;88,91;167.113,97;N/A;0,72;0,80%;2,17%;5,68%;11,57%;0,72%;0,95%;0,96%;8,01%;2,30%;3,12%;11,16%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BIME11;INDEFINIDO;7,39;55.121,38;0,84;0,08;1,06%;3,09%;6,91%;12,00%;1,03%;1,15%;1,00%;9,02%;-3,93%;-2,92%;7,68%;51.644.433,24;9,01;0,82;0,67%;-0,71%;-0,05%;6,11%;2
BLCA11;INDEFINIDO;124,98;1.530,27;0,93;0,57;0,45%;0,45%;0,86%;2,73%;0,15%;0,14%;0,23%;1,49%;0,00%;0,00%;N/A;217.802.295,64;89,26;1,4;0,63%;-0,32%;0,31%;-12,47%;1
BLCP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;91;103.127,50;0,81;0,56;0,63%;1,24%;2,39%;4,92%;0,41%;0,40%;0,41%;3,64%;0,00%;0,00%;N/A;256.580.339,90;111,74;0,81;0,50%;-0,02%;0,49%;15,81%;2
BLMC11;PAPÉIS;82;15.895,81;0,82;0,79;0,94%;3,17%;6,76%;12,64%;1,06%;1,13%;1,05%;7,81%;3,04%;4,01%;14,76%;40.097.779,50;96,52;0,85;0,69%;-1,69%;-1,01%;2,81%;0
BLMG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;60,84;577.273,10;0,69;0,7;1,15%;3,22%;6,64%;12,80%;1,07%;1,11%;1,07%;8,91%;-10,54%;-9,51%;-14,07%;333.768.702,70;91,33;0,67;0,88%;-2,57%;-1,72%;-1,52%;1
BLMO11;LAJES CORPORATIVAS;18.898,00;344.904,00;0,57;102;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;126.764.811,09;29.561,52;0,64;0,09%;0,22%;0,31%;13,59%;1
BLMR11;FUNDO DE FUNDOS;7,17;401.087,28;0,88;0,06;0,83%;2,47%;5,30%;11,25%;0,82%;0,88%;0,94%;7,37%;-3,85%;-3,05%;12,58%;207.511.287,43;7,82;0,92;0,95%;-5,66%;-4,77%;3,05%;0
